YEAR,MONTH,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,TOR_F_SCALE,DEATHS_DIRECT,DEATHS_INDIRECT,INJURIES_DIRECT,INJURIES_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,RADAR_DIST,RADAR_2026
2007,6,24.6611,-81.5206,24.6704,-81.5275,0,0,0,0,0,20000.0,0.0,19.80011531977852,True
2007,10,33.42,-90.54,33.4538,-90.4954,1,0,0,0,0,180000.0,0.0,136.9746354208091,True
2007,5,39.9507,-83.76,39.9507,-83.76,0,0,0,0,0,20000.0,0.0,59.21665407775881,True
2007,6,24.7028,-81.0874,24.7,-81.0959,0,0,0,0,0,2500.0,0.0,63.350318565322574,True
2007,2,33.65,-82.17,33.8136,-81.9733,1,0,0,0,0,4000.0,0.0,102.66705426543726,True
2007,2,33.7136,-82.1128,33.8667,-81.92,1,0,0,0,0,0.0,15000.0,95.47596780035404,True
2007,2,33.1391,-81.1312,33.1523,-81.1002,0,0,0,0,0,0.0,0.0,54.41002344913515,True
2007,2,38.0,-95.59,38.0,-95.59,0,0,0,0,0,0.0,0.0,124.15581789294824,True
2007,2,38.01,-95.4,38.01,-95.4,0,0,0,0,0,0.0,0.0,131.4945780927735,True
2007,6,48.17,-97.99,48.17,-97.99,0,0,0,0,0,0.0,0.0,86.93523455949469,True
2007,6,47.67,-95.4,47.67,-95.4,0,0,0,0,0,0.0,0.0,145.19315713435785,True
2007,6,47.88,-95.02,47.88,-95.02,0,0,0,0,0,0.0,0.0,176.85854207081587,True
2007,4,40.87,-100.21,41.04,-100.17,2,0,0,9,0,2500000.0,50000.0,124.7680620211934,True
2007,6,47.76,-96.67,47.76,-96.67,0,0,0,0,0,0.0,0.0,55.43430957405996,True
2007,4,33.16,-81.07,33.22,-80.96,0,0,0,0,0,1000.0,0.0,56.155659761350606,True
2007,4,33.07,-81.0,33.12,-80.96,0,0,0,0,0,0.0,0.0,46.2562263453096,True
2007,8,41.3794,-97.22,41.43,-97.1429,0,0,0,0,0,0.0,0.0,71.52163505965456,True
2007,5,26.11,-80.55,26.09,-80.53,0,0,0,0,0,0.0,0.0,57.20189752052339,True
2007,7,27.7295,-97.4509,27.7349,-97.4508,0,0,0,0,0,20000.0,0.0,8.446273583253245,True
2007,6,48.8012,-96.18,48.8021,-96.1011,1,0,0,0,0,0.0,0.0,165.07948763995242,True
2007,6,48.85,-95.92,48.85,-95.92,0,0,0,0,0,0.0,0.0,180.14597596400205,True
2007,6,49.33,-95.0,49.33,-95.0,1,0,0,0,0,0.0,0.0,263.7440991490172,False
2007,6,25.6782,-80.2558,25.6782,-80.2558,0,0,0,0,0,0.0,0.0,17.465942991616792,True
2007,4,31.6049,-89.3572,31.6034,-89.3529,0,0,0,0,0,0.0,0.0,95.59161119956016,True
2007,4,37.1159,-99.5587,37.2255,-99.5879,1,0,0,0,0,0.0,0.0,80.33807533482272,True
2007,2,37.475,-100.2505,37.696,-100.119,1,0,0,0,0,225000.0,0.0,40.31626249554944,True
2007,12,30.6101,-94.411,30.6128,-94.4082,0,0,0,0,0,12000.0,0.0,126.69756675369602,True
2007,4,37.186,-99.5354,37.2093,-99.5376,0,0,0,0,0,0.0,0.0,74.4906360191228,True
2007,4,37.0947,-99.5682,37.1102,-99.5518,0,0,0,0,0,0.0,0.0,82.08637649581384,True
2007,4,31.16,-89.72,31.16,-89.72,0,0,0,0,0,1000.0,0.0,96.83825533627827,True
